city,population
"COLLINWOOD,TN",2055
"PULASKI,TN",13697
"MASON,TN",12062
"BOLIVAR,TN",7573
"LOUISVILLE,TN",9280
"BETHEL SPRINGS,TN",2751
"BRADEN,TN",0
"LYNCHBURG,TN",2638
"KINGSPORT,TN",70071
"LOUDON,TN",15756
"SAVANNAH,TN",13532
"ADAMSVILLE,TN",4536
"BULLS GAP,TN",3868
"CRUMP,TN",0
"WHITEVILLE,TN",2918
"MUNFORD,TN",8770
"LAWRENCEBURG,TN",16715
"ATOKA,TN",8834
"ALTAMONT,TN",1213
"MORRISTOWN,TN",38434
"LENOIR CITY,TN",21833
"JEFFERSON CITY,TN",9183
"NEW MARKET,TN",6133
"PETERSBURG,TN",2674
"BEERSHEBA SPRINGS,TN",558
"TULLAHOMA,TN",20304
"BRIGHTON,TN",7861
"TOONE,TN",1200
"CHURCH HILL,TN",16683
"MOUNT CARMEL,TN",4533
"SILERTON,TN",0
"FARRAGUT,TN",51670
"KNOXVILLE,TN",303378
"SURGOINSVILLE,TN",3242
"ROGERSVILLE,TN",15803
"PIKEVILLE,TN",6766
"FINGER,TN",1408
"ETHRIDGE,TN",2522
"CORNERSVILLE,TN",1948
"WAYNESBORO,TN",4948
"STANTON,TN",2136
"SPRING CITY,TN",7972
"MANCHESTER,TN",20352
"BURLISON,TN",2294
"GILT EDGE,TN",2294
"LYNNVILLE,TN",2244
"MILLEDGEVILLE,TN",0
"BLAINE,TN",2849
"NORMANDY,TN",1407
"ENVILLE,TN",860
"SALTILLO,TN",522
"BEAN STATION,TN",4967
"VIOLA,TN",0
"CLIFTON,TN",1379
"COVINGTON,TN",11989
"GARLAND,TN",11989
"KINGSTON,TN",12836
"MEDON,TN",1933
"OAK RIDGE,TN",24761
"HENDERSON,TN",8919
"LEWISBURG,TN",16740
"RUTLEDGE,TN",6167
"SHELBYVILLE,TN",25930
"SARDIS,TN",958
"LUTTRELL,TN",2819
"ROCKWOOD,TN",9352
"WARTRACE,TN",2544
"MORRISON,TN",4350
"HARRIMAN,TN",13895
"CLINTON,TN",20345
"OLIVER SPRINGS,TN",7474
"BROWNSVILLE,TN",11781
"MAYNARDVILLE,TN",7401
"SCOTTS HILL,TN",1568
"OAKDALE,TN",1365
"HENNING,TN",2010
"SPENCER,TN",2835
"SNEEDVILLE,TN",3434
"CENTERTOWN,TN",23490
"MCMINNVILLE,TN",24328
"BELL BUCKLE,TN",3945
"CRAB ORCHARD,TN",782
"MOUNT PLEASANT,TN",6158
"NORRIS,TN",1392
"HOHENWALD,TN",7770
"JACKSON,TN",65917
"DECATURVILLE,TN",2558
"RIPLEY,TN",12214
"CHAPEL HILL,TN",5501
"NEW TAZEWELL,TN",6531
"TAZEWELL,TN",7154
"CROSSVILLE,TN",40616
"COLUMBIA,TN",43764
"LINDEN,TN",4191
"BELLS,TN",4081
"WARTBURG,TN",3997
"DOYLE,TN",1002
"LEXINGTON,TN",14048
"PARSONS,TN",4358
"PLEASANT HILL,TN",572
"HARROGATE,TN",4847
"ALAMO,TN",3400
"GATES,TN",1370
"SPARTA,TN",17899
"GADSDEN,TN",1139
"EAGLEVILLE,TN",1948
"WOODBURY,TN",6711
"MAURY CITY,TN",679
"CARYVILLE,TN",3270
"JACKSBORO,TN",6975
"SPRING HILL,TN",22942
"LA FOLLETTE,TN",13441
"HALLS,TN",4031
"CUMBERLAND GAP,TN",1614
"MEDINA,TN",4790
"HUMBOLDT,TN",12415
"THREE WAY,TN",12415
"LOBELVILLE,TN",1559
"MURFREESBORO,TN",121605
"SUNBRIGHT,TN",1562
"SMITHVILLE,TN",10335
"FRIENDSHIP,TN",2142
"CENTERVILLE,TN",5682
"GIBSON,TN",0
"AUBURNTOWN,TN",714
"MONTEREY,TN",6439
"CLARKSBURG,TN",0
"MILAN,TN",9401
"LIBERTY,TN",1504
"DOWELLTOWN,TN",1242
"HUNTSVILLE,TN",2113
"DYERSBURG,TN",21215
"FRANKLIN,TN",77922
"NOLENSVILLE,TN",7720
"TRENTON,TN",7651
"JELLICO,TN",2314
"ALGOOD,TN",24783
"COOKEVILLE,TN",47654
"SMYRNA,TN",40372
"ATWOOD,TN",1527
"LA VERGNE,TN",25682
"ALEXANDRIA,TN",1740
"BAXTER,TN",5176
"MCLEMORESVILLE,TN",0
"BRENTWOOD,TN",46259
"FAIRVIEW,TN",8951
"ONEIDA,TN",6736
"ALLARDT,TN",1138
"TREZEVANT,TN",1242
"WATERTOWN,TN",4610
"HUNTINGDON,TN",7014
"NEWBERN,TN",6187
"DYER,TN",3159
"YORKVILLE,TN",0
"WINFIELD,TN",1405
"BRADFORD,TN",2322
"NEW JOHNSONVILLE,TN",2664
"HOLLOW ROCK,TN",1173
"BRUCETON,TN",1745
"GORDONSVILLE,TN",1967
"JAMESTOWN,TN",8279
"RUTHERFORD,TN",1542
"BURNS,TN",4593
